Energy delta[Wh],GHI,temp,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,isSun,sunlightTime,dayLength,SunlightTime/daylength,weather_type,month
-2.2343,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,1
-2.2343,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,1
-2.2343,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,1
-2.2343,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,1
-1.9184753,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1
-1.9184753,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1
-1.9184753,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1
-1.9184753,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1
1.0664957,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,1
1.0664957,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,1
1.0664957,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,1
1.0664957,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,1
-0.77148616,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
-0.77148616,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
-0.77148616,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
-0.77148616,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
-0.4463792,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,1
-0.4463792,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,1
-0.4463792,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,1
