       Energy delta[Wh]   GHI  temp  pressure  humidity  wind_speed  rain_1h  snow_1h  clouds_all  isSun  sunlightTime  dayLength  SunlightTime/daylength  weather_type  month
0             39.725113   0.0  -0.0      1006        99         2.7     0.00     0.00         100      0             0        465                    0.00             4     12
1             39.725113   0.0  -0.0      1006        99         2.7     0.00     0.00         100      0             0        465                    0.00             4     12
2             39.725113   0.0  -0.0      1006        99         2.7     0.00     0.00         100      0             0        465                    0.00             4     12
3             39.725113   0.0  -0.0      1006        99         2.7     0.00     0.00         100      0             0        465                    0.00             4     12
4             39.861230   0.0   0.2      1007        99         3.0     0.00     0.00         100      0             0        465                    0.00             4     12
5             39.861230   0.0   0.2      1007        99         3.0     0.00     0.00         100      0             0        465                    0.00             4     12
6             39.861230   0.0   0.2      1007        99         3.0     0.00     0.00         100      0             0        465                    0.00             4     12
7             39.861230   0.0   0.2      1007        99         3.0     0.00     0.00         100      0             0        465                    0.00             4     12
8             39.880928   0.0   0.2      1007        99         3.1     0.00     0.00         100      0             0        465                    0.00             4     12
9             39.880928   0.0   0.2      1007        99         3.1     0.00     0.00         100      0             0        465                    0.00             4     12
10            39.880928   0.0   0.2      1007        99         3.1     0.00     0.00         100      0             0        465                    0.00             4     12
11            39.880928   0.0   0.2      1007        99         3.1     0.00     0.00         100      0             0        465                    0.00             4     12
12            39.946186   0.0   0.3      1007        99         3.5     0.00     0.00         100      0             0        465                    0.00             4     12
13            39.946186   0.0   0.3      1007        99         3.5     0.00     0.00         100      0             0        465                    0.00             4     12
14            39.946186   0.0   0.3      1007        99         3.5     0.00     0.00         100      0             0        465                    0.00             4     12
15            39.946186   0.0   0.3      1007        99         3.5     0.00     0.00         100      0             0        465                    0.00             4     12
16            40.821617   0.0   0.8      1008        98         3.7     0.00     0.00          99      0             0        465                    0.00             4     12
17            40.821617   0.0   0.8      1008        98         3.7     0.00     0.00          99      0             0        465                    0.00             4     12
18            40.821617   0.0   0.8      1008        98         3.7     0.00     0.00          99      0             0        465                    0.00             4     12
19            40.821617   0.0   0.8      1008        98         3.7     0.00     0.00          99      0             0        465                    0.00             4     12
20            40.456696   0.0   1.0      1008        98         3.9     0.00     0.00         100      0             0        465                    0.00             4     12
21            40.456696   0.0   1.0      1008        98         3.9     0.00     0.00         100      0             0        465                    0.00             4     12
22            40.456696   0.0   1.0      1008        98         3.9     0.00     0.00         100      0             0        465                    0.00             4     12
23            40.456696   0.0   1.0      1008        98         3.9     0.00     0.00         100      0             0        465                    0.00             4     12
24            40.930270   0.0   1.2      1009        98         3.8     0.00     0.00          99      0             0        465                    0.00             4     12
25            40.930270   0.0   1.2      1009        98         3.8     0.00     0.00          99      0             0        465                    0.00             4     12
26            40.930270   0.0   1.2      1009        98         3.8     0.00     0.00          99      0             0        465                    0.00             4     12
27            40.930270   0.0   1.2      1009        98         3.8     0.00     0.00          99      0             0        465                    0.00             4     12
28            41.363743   1.5   1.3      1009        98         3.8     0.00     0.00          98      1            15        465                    0.03             4     12
29            18.554575   5.6   1.3      1009        98         3.8     0.00     0.00          98      1            30        465                    0.06             4     12
30           335.170100  10.9   1.3      1009        98         3.8     0.00     0.00          98      1            45        465                    0.10             4     12
31           335.135650  16.4   1.3      1009        98         3.8     0.00     0.00          98      1            60        465                    0.13             4     12
32           340.226000  15.1   1.8      1010        98         3.7     0.00     0.14          99      1            75        465                    0.16             5     12
33           579.136660  16.3   1.8      1010        98         3.7     0.00     0.14          99      1            90        465                    0.19             5     12
34           579.096000  22.1   1.8      1010        98         3.7     0.00     0.14          99      1           105        465                    0.23             5     12
35           949.420100  27.9   1.8      1010        98         3.7     0.00     0.14          99      1           120        465                    0.26             5     12
36           852.119300  33.8   2.1      1011        98         3.6     0.20     0.00          98      1           135        465                    0.29             5     12
37          1343.252800  36.0   2.1      1011        98         3.6     0.20     0.00          98      1           150        465                    0.32             5     12
38          1099.255200  15.9   2.1      1011        98         3.6     0.20     0.00          98      1           165        465                    0.35             5     12
39          1411.860600  29.0   2.1      1011        98         3.6     0.20     0.00          98      1           180        465                    0.39             5     12
40          1307.086400  43.0   2.9      1011        96         4.0     0.32     0.00          97      1           195        465                    0.42             5     12
41          1236.008000  43.2   2.9      1011        96         4.0     0.32     0.00          97      1           210        465                    0.45             5     12
42          1462.555800  42.0   2.9      1011        96         4.0     0.32     0.00          97      1           225        465                    0.48             5     12
43          1518.545500  25.2   2.9      1011        96         4.0     0.32     0.00          97      1           240        465                    0.52             5     12
44           763.794600  19.6   3.6      1012        95         3.9     0.25     0.00         100      1           255        465                    0.55             5     12
